Nr,Lat,Long,Latgms,Longms,NomeUC,Estado,CodDAP,AreaKm2,Categoria,Grupo,Esfera,AnoCriacao,NaoObservado,Floresta,Nuvem,Hidrografia,NaoFloresta,DesmatTotal,Desmat1997,Incremento2000,Incremento2001,Incremento2002,Incremento2003,Incremento2004,Incremento2005,Incremento2006,Incremento2007,Incremento2008,Incremento2009,Incremento2010,Incremento2011,Incremento2012,Incremento2013,Incremento2014,Incremento2015,Incremento2016,Incremento2017,Incremento2018 
 1,-2.85785,-46.26849,S 2 51 28.26,O 46 16 6.56,TI Alto Turiaçu,MA,0,5458.9,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,2967.1,1996.4,0.0,0.0,462.3,258.5,12.458,105.592,5.630,0.081,9.088,9.817,1.515,0.608,10.295,13.414,3.386,7.638,2.390,11.138,6.113,4.594,1.627,0.917,0.945 
 2,-3.35263,-46.42616,S 3 21 9.47,O 46 25 34.18,TI Awá,MA,0,1140.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,423.6,291.3,0.0,0.0,409.7,183.8,18.055,26.487,11.518,0.000,24.867,28.399,4.147,2.219,0.178,61.333,11.575,15.163,4.431,12.579,4.702,0.248,1.663,0.066,0.090 
 3,-5.86318,-46.89617,S 5 51 47.45,O 46 53 46.21,TI Krikati,MA,0,1442.6,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,77.4,0.0,0.0,1085.7,277.9,250.9,11.907,2.981,0.454,0.988,0.154,5.451,0.089,0.486,1.458,0.996,0.348,0.656,0.275,0.057,0.454,0.241,0.263,0.052,0.560 
 4,-5.08128,-46.47643,S 5 4 52.61,O 46 28 35.15,TI Araribóia,MA,0,4212.8,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,2039.1,1707.8,0.9,205.0,250.0,103.5,38.248,7.525,11.931,5.711,8.845,3.337,2.373,3.969,11.615,34.660,6.723,3.823,0.996,4.212,0.925,1.616,1.282,0.708,0.840 
 5,-3.71393,-46.35413,S 3 42 50.15,O 46 21 14.87,TI Caru,MA,0,1748.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,498.2,1041.5,0.0,8.0,195.9,95.5,9.104,73.346,2.373,0.000,1.118,1.450,0.105,0.308,0.948,2.074,1.604,2.722,1.118,2.560,1.332,0.176,0.677,0.245,0.000 
 6,-5.63640,-45.52768,S 5 38 11.04,O 45 31 39.65,TI Cana Brava,MA,0,1315.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,926.1,31.5,0.0,179.4,177.7,97.8,12.531,0.737,11.842,1.677,1.847,1.474,0.980,9.566,4.876,6.909,17.464,5.978,1.636,0.632,1.040,0.662,0.184,0.000,0.000 
 7,-5.93067,-45.79668,S 5 55 50.41,O 45 47 48.05,TI Bacurizinho,MA,0,1336.3,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,679.5,0.6,0.0,530.1,116.4,26.8,2.009,0.381,7.007,0.000,2.665,6.326,0.559,6.253,7.768,2.195,29.759,4.082,7.136,6.755,5.490,1.202,3.233,2.143,2.366 
 8,-3.63036,-45.53393,S 3 37 49.30,O 45 32 2.15,TI Rio Pindaré,MA,0,159.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,1.7,9.8,7.6,48.8,91.3,68.3,13.438,6.926,1.539,0.000,0.130,0.000,0.583,0.089,0.089,0.097,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000 
 9,-5.49088,-46.66464,S 5 29 27.17,O 46 39 52.70,TI Governador,MA,0,420.7,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,232.3,7.0,0.0,124.1,55.7,27.8,13.025,2.138,4.925,0.000,0.000,2.754,0.065,0.049,0.664,3.281,0.267,0.680,0.000,0.000,0.072,0.000,0.004,0.187,0.077 
 10,-5.02247,-45.70570,S 5 1 20.89,O 45 42 20.52,TI Geralda/Toco Preto,MA,0,179.3,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,56.6,74.8,0.0,0.0,47.1,36.4,0.624,0.146,8.157,0.227,0.032,0.073,0.170,0.348,0.446,0.146,0.292,0.000,0.000,0.000,0.000,0.040,0.241,0.133,0.142 
 11,-5.33616,-45.73585,S 5 20 10.18,O 45 44 9.06,TI Lagoa Comprida,MA,0,149.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,65.5,42.0,0.0,0.0,42.6,29.5,2.762,0.000,5.816,0.000,0.057,0.000,0.097,0.251,0.446,0.211,1.985,0.000,0.770,0.000,0.518,0.097,0.068,0.000,0.201 
 12,-5.37674,-45.91943,S 5 22 36.26,O 45 55 9.95,TI Urucu-Juruá,MA,0,125.1,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,50.1,42.6,0.0,4.1,27.3,22.0,1.345,0.073,0.770,0.000,0.000,0.000,0.000,0.000,0.745,0.365,1.029,0.729,0.113,0.000,0.122,0.000,0.061,0.075,0.000 
 13,-6.27246,-45.62632,S 6 16 20.86,O 45 37 34.75,TI Porquinhos dos Canela-Apãnjekra,MA,0,2148.4,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,116.9,0.0,0.0,1987.2,27.0,5.9,0.996,0.041,0.559,0.000,0.243,0.170,0.000,1.207,1.345,12.417,3.078,0.502,0.065,0.275,0.122,0.126,0.760,11.692,1.253 
 14,-6.06992,-45.09768,S 6 4 11.71,O 45 5 51.65,TI Kanela,MA,0,1247.4,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,76.4,0.0,0.0,1153.0,16.0,5.6,0.275,0.429,0.081,1.085,0.227,1.547,0.000,0.923,0.972,1.426,1.871,0.632,0.664,0.049,0.000,0.180,0.104,0.231,0.153 
 15,-6.09788,-45.64475,S 6 5 52.37,O 45 38 41.10,TI Porquinhos,MA,0,883.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,300.7,0.0,0.0,574.9,8.1,1.6,0.113,0.000,0.486,0.000,0.000,0.000,0.000,1.021,1.571,0.000,0.753,2.479,0.000,0.000,0.115,0.000,0.000,0.000,0.008 
 16,-5.70195,-45.22851,S 5 42 7.02,O 45 13 42.64,TI Rodeador,MA,0,22.7,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,8.8,0.0,0.0,9.7,3.8,1.5,0.000,0.000,0.745,0.000,0.024,0.000,0.000,0.000,0.000,0.834,0.365,0.186,0.000,0.130,0.000,0.079,0.000,0.000,0.000 
 17,-5.79842,-46.10252,S 5 47 54.31,O 46 6 9.07,TI Morro Branco,MA,0,0.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 
