Nr,Lat,Long,Latgms,Longms,NomeUC,Estado,CodDAP,AreaKm2,Categoria,Grupo,Esfera,AnoCriacao,NaoObservado,Floresta,Nuvem,Hidrografia,NaoFloresta,DesmatTotal,Desmat1997,Incremento2000,Incremento2001,Incremento2002,Incremento2003,Incremento2004,Incremento2005,Incremento2006,Incremento2007,Incremento2008,Incremento2009,Incremento2010,Incremento2011,Incremento2012,Incremento2013,Incremento2014,Incremento2015,Incremento2016,Incremento2017,Incremento2018,Incremento2019,Incremento2020 
 1,-6.21484,-45.20748,S 6 12 53.42,O 45 12 26.93,TI Kanela/Memortumré,MA,4137,1010.1,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,28.2,0.0,0.0,973.4,0.0,2.3,0.743,0.271,0.221,0.864,0.189,0.871,0.000,0.000,0.294,1.044,0.274,0.304,0.001,0.105,0.000,0.000,0.097,0.129,0.069,0.000,0.077 
 2,-5.37556,-45.91710,S 5 22 32.02,O 45 55 1.56,TI Urucu-Juruá,MA,3892,127.9,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,96.0,0.0,0.0,4.3,0.0,21.9,1.291,0.057,0.773,0.000,0.000,0.000,0.000,0.036,0.753,0.353,0.995,0.663,0.292,0.000,0.238,0.002,0.073,0.075,0.000,0.000,0.001 
 3,-6.25931,-45.59123,S 6 15 33.52,O 45 35 28.43,TI Porquinhos dos Canela-Apãnjekra,MA,4138,2237.6,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,123.5,0.0,0.0,2072.5,0.0,6.0,0.957,0.086,0.532,0.000,0.250,0.154,0.000,1.307,1.598,12.090,3.140,0.504,0.070,0.318,0.155,0.138,0.733,11.618,1.253,0.358,0.015 
 4,-3.63598,-45.52274,S 3 38 9.53,O 45 31 21.86,TI Rio Pindaré,MA,3850,144.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,11.2,0.6,1.5,46.2,0.0,67.8,13.473,5.648,1.560,0.000,0.115,0.000,0.574,0.075,0.087,0.072,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 
 5,-5.70259,-45.22834,S 5 42 9.32,O 45 13 42.02,DI Rodeador,MA,3851,23.3,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,9.1,0.0,0.0,10.0,0.0,1.5,0.043,0.000,0.965,0.000,0.029,0.004,0.000,0.000,0.000,0.718,0.426,0.181,0.000,0.133,0.000,0.077,0.000,0.000,0.000,0.069,0.000 
 6,-5.01836,-45.69826,S 5 1 6.10,O 45 41 53.74,TI Geralda/Toco Preto,MA,3671,185.8,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,139.3,0.0,0.0,0.0,0.0,35.1,0.526,0.086,8.503,0.147,0.029,0.000,0.032,0.354,0.401,0.001,0.315,0.000,0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002 
 7,-5.95535,-45.86612,S 5 57 19.26,O 45 51 58.03,TI Bacurizinho,MA,5163,537.0,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,112.7,0.0,0.0,347.6,0.0,11.5,1.401,0.279,5.188,0.000,2.512,5.223,0.582,5.395,6.926,0.631,3.804,3.273,7.116,6.453,4.918,1.218,3.159,2.077,2.240,1.020,0.635 
 8,-5.32489,-45.73517,S 5 19 29.60,O 45 44 6.61,TI Lagoa Comprida,MA,3743,133.0,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,100.3,0.0,0.0,0.0,0.0,21.2,2.643,0.000,5.816,0.000,0.068,0.000,0.000,0.100,0.461,0.177,1.963,0.000,0.728,0.000,0.321,0.101,0.077,0.000,0.220,0.064,0.000 
 9,-5.88445,-45.79501,S 5 53 4.02,O 45 47 42.04,TI Bacurizinho,MA,3610,830.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,563.0,0.0,0.0,217.1,0.0,15.5,0.650,0.100,1.647,0.000,0.111,1.047,0.000,0.900,0.813,1.568,26.068,0.855,0.000,0.136,0.626,0.000,0.072,0.033,0.076,0.074,0.000 
 10,-5.06989,-46.42427,S 5 4 11.60,O 46 25 27.37,TI Araribóia,MA,3600,4158.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,3702.4,0.0,1.0,202.8,0.0,103.2,39.332,6.451,12.405,4.723,6.533,3.356,2.755,3.982,8.661,35.633,5.705,3.712,1.131,3.859,0.715,1.533,0.741,0.580,0.592,1.446,1.070 
 11,-5.79863,-46.10286,S 5 47 55.07,O 46 6 10.30,TI Morro Branco,MA,3769,0.5,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 
 12,-6.09442,-45.63687,S 6 5 39.91,O 45 38 12.73,TI Porquinhos,MA,3829,799.6,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,289.7,0.0,0.0,502.8,0.0,1.4,0.100,0.000,0.493,0.000,0.000,0.000,0.000,0.868,1.187,0.013,0.495,2.515,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.078 
 13,-5.90389,-46.92851,S 5 54 14.00,O 46 55 42.64,TI Krikati,MA,3737,1451.3,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,67.6,0.0,0.0,1108.9,0.0,250.5,11.877,2.197,0.432,0.861,0.071,3.848,0.057,0.121,0.993,0.990,0.058,0.060,0.117,0.000,0.244,0.165,0.081,0.077,0.174,1.136,0.522 
 14,-6.06440,-45.10424,S 6 3 51.84,O 45 6 15.26,TI Kanela,MA,3719,1261.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,67.8,0.0,0.0,1179.0,0.0,3.8,0.343,0.329,0.007,0.914,0.389,0.947,0.000,0.929,0.774,1.226,1.782,0.572,0.658,0.086,0.000,0.091,0.077,0.108,0.000,0.481,0.000 
 15,-5.49846,-46.65736,S 5 29 54.46,O 46 39 26.50,TI Governador,MA,3672,419.1,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,238.9,0.0,0.0,124.3,0.0,27.5,13.273,2.575,4.927,0.000,0.032,2.560,0.061,0.029,0.576,2.755,0.227,0.659,0.000,0.000,0.072,0.000,0.017,0.161,0.077,0.000,0.000 
 16,-5.61913,-45.54541,S 5 37 8.87,O 45 32 43.48,TI Cana Brava,MA,3637,1364.4,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,993.1,0.0,0.0,176.9,0.0,106.0,16.041,0.622,13.506,1.891,1.898,1.358,1.140,8.941,5.160,8.244,17.715,6.629,1.891,1.519,1.067,0.769,0.199,0.000,0.076,0.000,0.000 
 17,-3.71864,-46.33325,S 3 43 7.10,O 46 19 59.70,TI Caru,MA,3645,1714.2,Terra Indigena,Terra Indigena,Terra Indigena,0,0.0,1538.5,4.4,0.0,3.2,0.0,27.8,9.700,73.808,2.351,0.000,1.283,1.118,0.111,0.423,1.032,2.765,1.626,2.680,1.322,2.242,1.498,0.216,0.668,0.244,0.000,0.000,0.000 
