Campo,Valor,Porcentagem do Total de Focos
TI BACURIZINHO (DECLARADA) (MARANHÃO),6746,22.74%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),4725,15.92%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),4393,14.81%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),3736,12.59%
TI KANELA (REGULARIZADA) (MARANHÃO),2207,7.44%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),1772,5.97%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),1391,4.69%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1301,4.38%
TI KRIKATI (REGULARIZADA) (MARANHÃO),1193,4.02%
TI AWA (REGULARIZADA) (MARANHÃO),604,2.04%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),522,1.76%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),489,1.65%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),175,0.59%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),138,0.47%
TI CARU (REGULARIZADA) (MARANHÃO),108,0.36%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),56,0.19%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),49,0.17%
TI RODEADOR (REGULARIZADA) (MARANHÃO),40,0.13%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),27,0.09%
